customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
128,0,0,0,0,0,750000,0,0,0,0,0,0,0,800000
129,200,800,34000,8500,42500,2304000,17978,17128,850,708,142,11333,5667,937409
130,0,1000,42500,0,42500,2304000,21378,21378,0,0,0,14167,7083,800000
131,0,0,0,0,0,50000,0,0,0,0,0,0,0,800000
133,200,800,41360,10340,51700,2304000,21846,20808,1038,862,172,13787,6893,980000
134,200,800,16400,4100,20500,2304000,8662,8248,414,342,68,5467,2733,980000
135,200,800,16400,4100,20500,2304000,8662,8248,414,342,68,5467,2733,980000
136,200,800,34000,8500,42500,2304000,17982,17128,854,708,142,11333,5667,980000
137,0,3000,20550,0,20550,0,13705,13705,0,0,0,10275,3425,500000
149,0,8000,292000,0,292000,9000000,365009,365009,0,0,0,292000,73000,1050000
150,0,8000,292000,0,292000,9000000,365009,365009,0,0,0,292000,73000,1050000
151,0,8000,292000,0,292000,9000000,365009,365009,0,0,0,292000,73000,1050000
157,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
113,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
116,100,900,3420,380,3800,160000,1270,1142,128,63,63,570,570,580000
117,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
121,0,101739,19249,0,19249,138840,97021,97021,0,0,0,64937,32082,3000000
122,0,101739,19249,0,19249,254702,97021,97021,0,0,0,64937,32082,3000000
123,0,101739,172956,0,172956,138840,57654,57654,0,0,0,28826,28826,3000000
132,0,5000,47500,0,47500,150000,15964,15964,0,0,0,7917,7917,800000
138,0,29705,2281344,0,2281344,0,5715600,5715600,0,0,0,1140672,4562688,10269346
139,0,29705,2281344,0,2281344,0,5715600,5715600,0,0,0,1140672,4562688,10269346
140,0,8347,133552,0,133552,0,111354,111354,0,0,0,55647,55647,1380000
141,0,8347,133552,0,133552,0,111354,111354,0,0,0,55647,55647,1380000
142,0,2250,11367000,0,11367000,0,68202060,68202060,0,0,0,11367000,56835000,561500
143,0,2250,117000,0,117000,0,702040,702040,0,0,0,117000,585000,561500
144,0,2250,117000,0,117000,0,702040,702040,0,0,0,117000,585000,561500
145,0,3000,32400,0,32400,0,32520,32520,0,0,0,16200,16200,800000
146,0,3000,32400,0,32400,0,32520,32520,0,0,0,16200,16200,800000
147,0,4000,56320,0,56320,0,47053,47053,0,0,0,18773,28160,927000
148,0,4000,56320,0,56320,0,47053,47053,0,0,0,18773,28160,927000
152,0,10000,17000,0,17000,138840,5668,5668,0,0,0,2833,2833,3000000
153,0,10000,17000,0,17000,138840,5668,5668,0,0,0,2833,2833,3000000
154,0,10000,17000,0,17000,138840,5668,5668,0,0,0,2833,2833,3000000
155,0,8000,292000,0,292000,9000000,365009,365009,0,0,0,292000,73000,1050000
156,0,8000,292000,0,292000,9000000,365009,365009,0,0,0,292000,73000,1050000
163,0,1000,40000,0,40000,0,41000,41000,0,0,0,20000,20000,1729500
164,0,1000,40000,0,40000,0,41000,41000,0,0,0,20000,20000,1729500
165,0,900,95400,0,95400,0,262880,262880,0,0,0,127200,127200,1260000
166,0,900,95400,0,95400,0,262880,262880,0,0,0,127200,127200,1260000
167,0,900,95400,0,95400,0,262880,262880,0,0,0,127200,127200,1260000
177,0,9368,1171,0,1171,5600000,788,788,0,0,0,293,390,331458
181,0,10000,17000,0,17000,138840,5668,5668,0,0,0,2833,2833,3000000
158,0,9368,2201527,0,2201527,2275000,1284622,1284622,0,0,0,550382,733842,1400000
159,0,9368,2201527,0,2201527,2275000,1284622,1284622,0,0,0,550382,733842,1400000
160,0,9368,2201527,0,2201527,2275000,1284622,1284622,0,0,0,550382,733842,1400000
161,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
162,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
168,0,9368,585547,0,585547,5600000,341674,341674,0,0,0,146387,195182,331458
169,0,9368,585547,0,585547,5600000,341674,341674,0,0,0,146387,195182,331458
170,0,9368,5855,0,5855,5600000,3521,3521,0,0,0,1464,1952,331458
171,0,9368,27823,0,27823,2275000,16628,16628,0,0,0,6956,9274,1400000
172,0,9368,1171,0,1171,5600000,788,788,0,0,0,293,390,331458
173,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
174,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
175,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
176,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
179,0,9368,27823,0,27823,2275000,16628,16628,0,0,0,6956,9274,1400000
180,0,9368,27823,0,27823,2275000,16628,16628,0,0,0,6956,9274,1400000
182,0,10000,4250,0,4250,138840,1417,1417,0,0,0,708,708,3000000
183,0,9368,27870,0,27870,2275000,16458,16458,0,0,0,6968,9290,1400000
184,0,9368,27870,0,27870,2275000,16263,16263,0,0,0,6968,9290,1400000
197,0,9368,8578,0,8578,2275000,5109,5109,0,0,0,2145,2859,1537409
203,0,9368,4803,0,4803,5600000,2862,2862,0,0,0,1201,1601,391191
204,0,9368,4803,0,4803,5600000,2862,2862,0,0,0,1201,1601,391191
207,0,1350,4091,0,4091,196677000,17758,17758,0,0,0,8864,8864,1230000
208,0,1350,4091,0,4091,0,17758,17758,0,0,0,8864,8864,1230000
209,0,1350,4091,0,4091,0,17758,17758,0,0,0,8864,8864,1230000
210,1800,7200,306000,76500,382500,2304000,160778,153128,7650,6375,1275,102000,51000,937409
211,1800,7200,306000,76500,382500,2304000,160778,153128,7650,6375,1275,102000,51000,937409
215,0,9368,137897,0,137897,2275000,80698,80698,0,0,0,34474,45966,1400000
216,0,9368,137897,0,137897,2275000,80698,80698,0,0,0,34474,45966,1400000
217,0,9368,137897,0,137897,2275000,80698,80698,0,0,0,34474,45966,1400000
185,0,9368,27870,0,27870,2275000,16258,16258,0,0,0,6968,9290,1400000
186,0,9368,32320,0,32320,2275000,18853,18853,0,0,0,8080,10773,1400000
187,0,9368,8900,0,8900,2275000,5192,5192,0,0,0,2225,2967,1400000
188,0,9368,27870,0,27870,2275000,16258,16258,0,0,0,6968,9290,1400000
189,0,10000,29250,0,29250,138840,9751,9751,0,0,0,4875,4875,3000000
190,0,10000,29250,0,29250,138840,9752,9752,0,0,0,4875,4875,3000000
191,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
192,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
193,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
194,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
195,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
196,0,9368,9438,0,9438,2275000,5611,5611,0,0,0,2360,3146,1537409
198,0,9368,6236,0,6236,2275000,3698,3698,0,0,0,1559,2079,1537409
199,0,9368,4803,0,4803,2275000,2862,2862,0,0,0,1201,1601,1400000
200,0,9368,4803,0,4803,2275000,2862,2862,0,0,0,1201,1601,391191
201,0,9368,4803,0,4803,5600000,2862,2862,0,0,0,1201,1601,391191
212,0,9368,129091,0,129091,2275000,75531,75531,0,0,0,32273,43030,1400000
213,0,9368,137897,0,137897,2275000,80698,80698,0,0,0,34474,45966,1400000
214,0,9368,137897,0,137897,2275000,80698,80698,0,0,0,34474,45966,1400000
219,0,9368,137897,0,137897,2275000,80698,80698,0,0,0,34474,45966,1400000
221,0,500,13138,0,13138,13275000,7706,7706,0,0,0,4379,3285,1864434
222,0,500,13138,0,13138,13275000,7664,7664,0,0,0,4379,3285,1864434
223,0,500,3941,0,3941,13275000,2299,2299,0,0,0,1314,985,1864434
224,0,500,3941,0,3941,13275000,2299,2299,0,0,0,1314,985,1864434
225,0,500,13138,0,13138,13275000,7664,7664,0,0,0,4379,3285,1864434
226,0,500,13138,0,13138,13275000,7664,7664,0,0,0,4379,3285,1864434
